RowNames,20221031UT,20221101UT,20221109UT,20221121UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.4781710809573207,1.0756594890963767,1.5205525260132797,1.1199910101312966,1.2985935265495683,0.20193584341079793,0.10096792170539896
1_Io,1.5871705678374879,0.0,0.0,1.1466041449329802,1.366887356385234,0.22028321145225382,0.11014160572612691
2_Europa,1.5995308461021918,0.0,1.7248631450964957,1.1623373874921306,1.4955771262302726,0.2411273368969161,0.12056366844845805
3_Ganymede,1.625039839782165,1.0764376500586577,1.6851515542180617,1.1611733519510077,1.386950599002473,0.2706491977701313,0.13532459888506565
4_Callisto,1.623406631038902,1.0896681818907865,1.6832228577343222,0.0,1.4654325568880038,0.26682534160233773,0.13341267080116886
Moons Avg.,1.6087869711901865,1.0830529159747222,1.6977458523496267,1.1567049614587062,1.3865726752433103,0.26980147774828217,0.13490073887414109
Moons StdP,0.016053309137927217,0.006615265916064428,0.019190981249381178,0.007158147597902346,0.0,0.0,0.0
95% Conf,0.008026654568963608,0.0046776993886013946,0.011079918190343284,0.0041327584425479924,0.0,0.0,0.0
Observed Transmission,0.9188109472715112,0.9931735312566038,0.8956302404796825,0.9682598825537067,0.0,0.0,0.0
NH3 Abs,0.08118905272848875,0.006826468743396208,0.10436975952031746,0.03174011744629335,0.0,0.0,0.0
Trans Conf,0.004989258809713917,0.004318994316534918,0.006526252545402497,0.003572871717724996,0.0,0.0,0.0
