ObsID,NH3 Time,CM1,CM2,CM3,Telescope,FL,Camera,Seeing,Transparency,CH4 Abs / PCloud,CH4 Qual,NH3 Abs / fc(NH3),NH3Qual,RGB Context
20221019UTa,2022-10-19_03:42:24,34.9,198.9,135.4,C11,5600mm,ASI120MM,'6/10','7/10',2022-10-19-0342_4-Jupiter-NoWV-R656G620B632-RGB-WhtBal,1,2022-10-19-0342_4-Jupiter-NoWV-R656G647B632-RGB-WhtBal,1,2022-10-19-0358_2-Jupiter-WV-R685G550B450-RGB-WhtBal-Wavelets
20221020UTa,2022-10-20_04:40:24,228.2,24.3,321.1,C11,5600mm,ASI120MM,'6/10','7/10',2022-10-20-0440_4-Jupiter-NoWV-R656G620B632-RGB-WhtBal,1,2022-10-20-0440_4-Jupiter-NoWV-R656G647B632-RGB-WhtBal,1,2022-10-20-0422_6-Jupiter-WV-R685G550B450-RGB-WhtBal-Wavelets
20221021UTa,2022-10-21_03:58:36,0.7,149.4,86.4,C11,5600mm,ASI120MM,'6/10','7/10',2022-10-21-0358_6-Jupiter-NoWV-R656G620B632-RGB-WhtBal,1,2022-10-21-0358_6-Jupiter-NoWV-R656G647B632-RGB-WhtBal,1,2022-10-21-0342_1-Jupiter-WV-R685G550B450-RGB-WhtBal-Wavelets
20230113UTa,2023-01-13_00:46:12,178.6,47.5,6.8,C11,5600mm,ASI120MM,'6/10','7/10',2023-01-13-0046_2-Jupiter-NoWV-R656G620B632-RGB-WhtBal,1,2023-01-13-0046_2-Jupiter-NoWV-R656G647B632-RGB-WhtBal,1,2023-01-13-0046_0-Jupiter-WV-R685G550B450-RGB-WhtBal-Wavelets
20230812UTa,2023-08-12_09:48:12,307.3,3.3,18.9,VLT,5600mm,MUSE,'N/A','N/A',2023-08-12-0948_2-Jupiter_R656G620B632-RGB-WhtBal-Smth,1,2023-08-12-0948_2-Jupiter_R656G647B632-RGB-WhtBal-Smth,1,2023-08-12-0948_2-Jupiter_R650G550B450-RGB-WhtBal-WV
20230815UTa,2023-08-15_07:34:00,339.2,13.0,29.4,VLT,5600mm,MUSE,'N/A','N/A',2023-08-15-0734_0-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-08-15-0734_0-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-08-15-0734_0-Jupiter_R650G550B450-RGB-Smth-WhtBal-WV
20230815UTb,2023-08-15_11:12:48,112.6,145.2,161.7,C11,5600mm,ASI120MM,'9/10','9/10',2023-08-15-1112_8-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-08-15-1112_8-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-08-15-1129_3-Jupiter_R685G550B450-WV-RGB-WhtBal-ClrSmth-WV
20230816UTa,2023-08-16_07:43:30,142.9,169.0,185.7,VLT,5600mm,MUSE,'N/A','N/A',2023-08-16-0743_5-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-08-16-0743_5-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-08-16-0743_5-Jupiter_R650G550B450-RGB-Smth-WhtBal-WV
20230816UTb,2023-08-16_11:30:06,281.1,306.0,322.7,C11,5600mm,ASI120MM,'7/10','7/10',2023-08-16-1130_1-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-08-16-1130_1-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-08-16-1145_3-Jupiter_R685G550B450-WV-RGB-WhtBal-ClrSmth-WV
20230817UTa,2023-08-17_11:21:24,73.7,91.0,108.0,C11,5600mm,ASI120MM,'8/10','7/10',2023-08-17-1121_4-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-08-17-1121_4-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-08-17-1136_7-Jupiter_R685B550B450-WV-RGB-ClrSmth-WhtBal-WV
20230818UTa,2023-08-18_11:37:06,241.2,250.8,268.0,C11,5600mm,ASI120MM,'7/10','4/10',2023-08-18-1137_1-Jupiter_R656G620B632-NoWV-RGB-ClrSmth-WhtBal,1,2023-08-18-1137_1-Jupiter_R656G647B632-NoWV-RGB-ClrSmth-WhtBal,1,2023-08-18-1151_5-Jupiter_R685B550B450-WV-RGB-ClrSmth-WhtBal-WV
20230827UTa,2023-08-27_11:30:36,218.6,159.5,179.1,C11,5600mm,ASI120MM,'10/10','7/10',2023-08-27-1130_6-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-08-27-1130_6-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-08-27-1144_1-Jupiter_R656B647B632-WV-RGB-WhtBal-ClrSmth-WV-Str0to192
20230827UTb,2023-08-27_11:53:48,232.7,173.6,193.2,C11,5600mm,ASI120MM,'10/10','7/10',2023-08-27-1152_6-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-08-27-1153_8-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-08-27-1144_1-Jupiter_R656B647B632-WV-RGB-WhtBal-ClrSmth-WV-Str0to192
20230830UTa,2023-08-30_11:44:06,340.6,258.6,279.0,C11,5600mm,ASI120MM,'7/10','8/10',2023-08-30-1144_1-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-08-30-1144_1-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-08-30-1158_5-Jupiter_R685G550B450-RGB-WhtBal-ClrSmth-WV
20230831UTa,2023-08-31_11:30:42,130.4,40.9,61.5,C11,5600mm,ASI120MM,'6/10','8/10',2023-08-31-1130_8-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-08-31-1130_7-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-08-31-1146_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20230831UTb,2023-08-31_11:53:42,144.4,54.8,75.4,C11,5600mm,ASI120MM,'6/10','8/10',2023-08-31-1153_5-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-08-31-1153_7-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-08-31-1146_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20230905UTa,2023-09-05_11:38:18,204.8,77.1,99.1,C11,5600mm,ASI120MM,'6/10','8/10',2023-09-05-1138_3-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-09-05-1138_3-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-09-05-1152_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20230905UTb,2023-09-05_12:05:12,221.2,93.3,115.4,C11,5600mm,ASI120MM,'6/10','8/10',2023-09-05-1205_2-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-09-05-1205_2-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-09-05-1152_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20230906UTa,2023-09-06_11:33:54,0.1,224.8,247.0,C11,5600mm,ASI120MM,'6/10','8/10',2023-09-06-1134_0-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-09-06-1133_9-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-09-06-1149_4-Jupiter_R685G550B450-WV-RGB-ClrSmth-WhtBal-WV
20230906UTb,2023-09-06_12:03:12,18.0,242.5,264.7,C11,5600mm,ASI120MM,'6/10','8/10',2023-09-06-1203_2-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-09-06-1203_2-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-09-06-1149_4-Jupiter_R685G550B450-WV-RGB-ClrSmth-WhtBal-WV
20230922UTa,2023-09-22_06:29:00,182.0,286.1,312.6,C11,5600mm,ASI120MM,'8/10','8/10',2023-09-22-0629_0-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-09-22-0629_0-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-09-22-0644_8-Jupiter_R685G550B450-WV-RGB-WhtBal-ClrSmth-WV
20230923UTa,2023-09-23_05:59:12,321.8,58.5,85.2,VLT,5600mm,MUSE,'N/A','N/A',2023-09-23-0559_2-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-09-23-0559_2-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-09-23-0559_2-Jupiter_R650G550B450-RGB-Smth-WhtBal-WV
20230924UTa,2023-09-24_11:48:48,333.0,60.2,87.2,C11,5600mm,ASI120MM,'4/10','8/10',2023-09-24-1148_0-Jupiter_R656G620B632-NoWV-RGB-WhtBal,1,2023-09-24-1148_8-Jupiter_R656G647B632-NoWV-RGB-WhtBal,1,2023-09-24-1208_0-Jupiter_R685G550B450-RGB-WhtBal-ClrSmth-WV
20230929UTa,2023-09-29_05:32:12,173.4,224.5,252.8,C11,5600mm,ASI120MM,'6/10','8/10',2023-09-29-0532_2-Jupiter_R656G620B632-NoWV-RGB-WhtBal,1,2023-09-29-0532_2-Jupiter_R656G647B632-NoWV-RGB-WhtBal,1,2023-09-29-0547_9-Jupiter_R685G550B450-WV-RGB-WhtBal-ClrSmth-WV
20231005UTa,2023-10-05_04:59:54,21.8,27.3,57.2,C11,5600mm,ASI120MM,'7/10','8/10',2023-10-05-0459_9-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-10-05-0459_9-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-10-05-0512_7-Jupiter_R685G550B450-WV-RGB-ClrSmth-WhtBal-WV
20231006UTa,2023-10-06_05:04:42,182.8,180.6,210.8,C11,5600mm,ASI120MM,'7/10','8/10',2023-10-06-0504_7-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-10-06-0504_7-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-10-06-0520_8-Jupiter_R685G550B450-WV-RGB-ClrSmth-WhtBal-WV
20231006UTb,2023-10-06_05:35:24,201.5,199.1,229.3,C11,5600mm,ASI120MM,'7/10','8/10',2023-10-06-0535_4-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-10-06-0535_4-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-10-06-0548_9-Jupiter_R685G550B450-WV-RGB-ClrSmth-WhtBal-WV
20231015UTa,2023-10-15_04:56:36,160.1,89.3,121.9,C11,5600mm,ASI120MM,'5/10','8/10',2023-10-15-0456_6-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-10-15-0456_6-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-10-15-0510_2-Jupiter_R685G550B450-WV-RGB-WhtBal-ClrSmth-WV
20231015UTb,2023-10-15_05:22:36,176.0,105.0,137.6,C11,5600mm,ASI120MM,'5/10','8/10',2023-10-15-0522_6-Jupiter_R656G620B632-NoWV-RGB-Smth-WhtBal,1,2023-10-15-0522_6-Jupiter_R656G647B632-NoWV-RGB-Smth-WhtBal,1,2023-10-15-0536_4-Jupiter_R685G550B450-WV-RGB-WhtBal-ClrSmth-WV
20231017UTa,2023-10-17_05:05:42,121.8,35.6,68.7,C11,5600mm,ASI120MM,'8/10','8/10',2023-10-17-0505_7-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-10-17-0505_7-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-10-17-0520_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231017UTb,2023-10-17_05:33:12,138.5,52.2,85.4,C11,5600mm,ASI120MM,'8/10','8/10',2023-10-17-0533_3-Jupiter_R656G620B632-RGB-Smth-WhtBal,1,2023-10-17-0533_2-Jupiter_R656G647B632-RGB-Smth-WhtBal,1,2023-10-17-0549_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231019UTa,2023-10-19_04:52:18,69.7,328.3,2.0,C11,5600mm,ASI120MM,'6/10','8/10',2023-10-19-0452_2-Jupiter_R656G620B632-RGB-WhtBal,1,2023-10-19-0452_3-Jupiter_R656G647B632-RGB-WhtBal,1,2023-10-19-0507_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231019UTb,2023-10-19_05:21:12,87.3,345.8,19.5,C11,5600mm,ASI120MM,'6/10','8/10',2023-10-19-0521_2-Jupiter_R656G620B632-RGB-WhtBal,1,2023-10-19-0521_2-Jupiter_R656G647B632-RGB-WhtBal,1,2023-10-19-0538_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV-WV
20231022UTa,2023-10-22_04:11:12,158.7,34.7,69.2,C11,5600mm,ASI120MM,'4/10','5/10',2023-10-22-0411_2-Jupiter_R656G620B632-RGB-WhtBal,1,2023-10-22-0411_2-Jupiter_R656G647B632-RGB-WhtBal,1,2023-10-22-0425_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231023UTa,2023-10-23_04:17:18,320.5,188.8,223.5,C11,5600mm,ASI120MM,'6/10','8/10',2023-10-23-0417_3-Jupiter_R656G620B632-RGB-WhtBal,1,2023-10-23-0417_3-Jupiter_R656G647B632-RGB-WhtBal,1,2023-10-23-0434_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV-WV
20231023UTb,2023-10-23_04:51:00,341.0,209.2,243.9,C11,5600mm,ASI120MM,'6/10','8/10',2023-10-23-0450_9-Jupiter_R656G620B632-RGB-WhtBal,1,2023-10-23-0451_0-Jupiter_R656G647B632-RGB-WhtBal,1,2023-10-23-0507_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV-WV
20231024UTa,2023-10-24_04:06:24,111.9,332.7,7.6,C11,5600mm,ASI120MM,'8/10','5/10',2023-10-24-0406_8-Jupiter_R656G620B632-RGB-WhtBal,1,2023-10-24-0406_4-Jupiter_R656G647B632-RGB-WhtBal,1,2023-10-24-0419_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231024UTb,2023-10-24_04:31:18,127.1,347.7,22.7,C11,5600mm,ASI120MM,'8/10','5/10',2023-10-24-0431_2-Jupiter_R656G620B632-RGB-WhtBal,1,2023-10-24-0431_3-Jupiter_R656G647B632-RGB-WhtBal,1,2023-10-24-0444_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231026UTa,2023-10-26_04:21:18,77.0,282.5,318.0,C11,5600mm,ASI120MM,'6/10','4/10',2023-10-26-0421_3-Jupiter_R656G620B632-WV-RGB-WhtBal,1,2023-10-26-0421_3-Jupiter_R656G647B632-WV-RGB-WhtBal,1,2023-10-26-0433_9-Jupiter_R685G550B450-WV-RGB-ClrSmth-WhtBal-WV
20231103UTa,2023-11-03_03:53:24,244.3,28.9,66.5,C11,5600mm,ASI120MM,'U/10','U/10',2023-11-03-0353_4-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-03-0353_4-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-03-0407_3-Jupiter_R685G550B450-WV-RGB-ClrSmth-WhtBal-WV
20231107UTa,2023-11-07_03:05:36,127.3,241.6,280.3,C11,5600mm,ASI120MM,'4/10','5/10',2023-11-07-0305_6-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-07-0305_6-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-07-0319_2-Jupiter_R686G550B450-RGB-ClrSmth-WhtBal-WV
20231107UTb,2023-11-07_03:33:00,144.0,258.1,296.8,C11,5600mm,ASI120MM,'4/10','5/10',2023-11-07-0333_0-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-07-0333_0-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-07-0346_7-Jupiter_R686G550B450-RGB-ClrSmth-WhtBal-WV
20231110UTa,2023-11-10_03:39:42,262.2,353.4,32.8,C11,5600mm,ASI120MM,'6/10','8/10',2023-11-10-0339_7-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-10-0339_7-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-10-0353_6-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231110UTb,2023-11-10_04:06:18,278.4,9.4,48.9,C11,5600mm,ASI120MM,'6/10','8/10',2023-11-10-0406_3-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-10-0406_3-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-10-0419_3-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231110UTc,2023-11-10_04:32:06,294.1,25.0,64.5,C11,5600mm,ASI120MM,'6/10','8/10',2023-11-10-0432_1-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-10-0432_1-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-10-0448_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231112UTa,2023-11-12_04:27:00,247.0,322.7,2.7,C11,5600mm,ASI120MM,'5/10','8/10',2023-11-12-0427_0-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-12-0427_0-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-12-0441_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231112UTb,2023-11-12_04:57:00,265.3,340.9,20.9,C11,5600mm,ASI120MM,'5/10','8/10',2023-11-12-0457_0-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-12-0457_0-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-12-0512_1-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231113UTa,2023-11-13_02:31:42,334.7,43.4,83.7,C11,5600mm,ASI120MM,'U/10','U/10',2023-11-13-0231_8-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-13-0231_7-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-13-0245_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231113UTb,2023-11-13_02:59:24,351.6,60.2,100.4,C11,5600mm,ASI120MM,'U/10','U/10',2023-11-13-0259_4-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-13-0259_4-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-13-0314_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231115UTa,2023-11-15_03:21:24,321.1,14.2,55.0,C11,5600mm,ASI120MM,'U/10','U/10',2023-11-15-0321_4-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-15-0321_4-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-15-0335_0-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231115UTb,2023-11-15_03:47:54,337.2,30.2,71.0,C11,5600mm,ASI120MM,'U/10','U/10',2023-11-15-0347_9-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-15-0347_9-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-15-0401_4-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231128UTa,2023-11-28_03:59:36,238.1,191.8,236.1,C11,5600mm,ASI120MM,'6/10','9/10',2023-11-28-0359_6-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-28-0359_6-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-28-0414_2-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231128UTb,2023-11-28_04:26:42,254.6,208.2,252.5,C11,5600mm,ASI120MM,'6/10','9/10',2023-11-28-0426_7-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-28-0426_7-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-28-0438_9-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231129UTa,2023-11-29_03:15:48,9.3,315.7,0.2,C11,5600mm,ASI120MM,'7/10','9/10',2023-11-29-0315_8-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-29-0315_8-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-29-0330_5-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231129UTb,2023-11-29_03:44:54,27.1,333.3,17.8,C11,5600mm,ASI120MM,'7/10','9/10',2023-11-29-0344_9-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-29-0344_9-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-29-0358_9-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231129UTc,2023-11-29_04:12:36,44.0,350.0,34.6,C11,5600mm,ASI120MM,'7/10','9/10',2023-11-29-0412_6-Jupiter_R656G620B632-RGB-WhtBal,1,2023-11-29-0412_6-Jupiter_R656G647B632-RGB-WhtBal,1,2023-11-29-0432_7-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
20231206UTa,2023-12-06_03:04:48,28.2,281.2,327.6,C11,5600mm,ASI120MM,'U/10','U/10',2023-12-06-0304_8-Jupiter_R656G620B632-RGB-WhtBal,1,2023-12-06-0304_8-Jupiter_R656G647B632-RGB-WhtBal,1,2023-12-06-0317_8-Jupiter_R685G550B450-RGB-ClrSmth-WhtBal-WV
