RowNames,20210812UT,20210817UT,20210830UT,20210905UT,20210906UT,20211122UT,20211123UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.2512291330856387,1.2848732976859716,1.2716432195832146,1.28333790497562,1.2955649352512904,1.3261316078833962,1.3299361950307869,1.2918166133565596,0.026238136837187176,0.009917083562411442
1_Io,0.0,1.2979712573694233,1.3051781029005527,1.2779519603463345,1.2934661876536386,1.3534528291888581,1.3181335420482667,1.307692313251179,0.023772307065297697,0.008985087512148772
2_Europa,0.0,1.29775140667181,1.3071070056077752,1.3224992660559227,1.3246577926337126,1.3692716576997426,0.0,1.324257425733793,0.024601782275294103,0.009298599672769282
3_Ganymede,0.0,1.2749188140165963,1.3207658806207148,1.3342987009672405,0.0,1.3360512295227502,1.3779237748568516,1.3287916799968307,0.03305658853896408,0.012494216066612418
4_Callisto,1.263093724049691,1.2913040810484142,1.2853123427951136,0.0,1.3145235744861314,1.3532575228172379,1.342630912648331,1.3083536929741533,0.031883661001039156,0.012050891127862614
Moons Avg.,1.263093724049691,1.290486389776561,1.304590832981039,1.311583309123166,1.3108825182578276,1.3530083098071473,1.3462294098511496,1.3114106419780829,0.028690167496076783,0.010843864038201121
Moons StdP,0.0,0.00937845599538164,0.012648797972935045,0.02426392907820529,0.012991587615363443,0.011750518723147776,0.024541527681533542,0.0,0.0,0.0
95% Conf,0.0,0.00468922799769082,0.006324398986467522,0.014008785984899812,0.007500696606930693,0.005875259361573888,0.014169057613258044,0.0,0.0,0.0
Observed Transmission,0.9906067216247324,0.9956504058198077,0.9747448682262025,0.9784646511196998,0.9883150604320405,0.9801355972990425,0.9878971483603495,0.0,0.0,0.0
NH3 Abs,0.0093932783752676,0.004349594180192318,0.025255131773797457,0.021535348880300176,0.011684939567959463,0.019864402700957462,0.012102851639650525,0.0,0.0,0.0
Trans Conf,0.0,0.003633690393668335,0.004847802718355788,0.010680820568130835,0.0057218679038447875,0.0043423675368345115,0.01052499485568711,0.0,0.0,0.0
