RowNames,20221031UT,20221101UT,20221109UT,20221121UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.4813986900677951,1.0759465655849327,1.522906981001665,1.12068921420214,1.3002353627141334,0.20306715929206326,0.10153357964603163
1_Io,1.5871705678374879,0.0,0.0,1.1466041449329802,1.366887356385234,0.22028321145225382,0.11014160572612691
2_Europa,1.5995308461021918,0.0,1.7248631450964957,1.1623373874921306,1.4955771262302726,0.2411273368969161,0.12056366844845805
3_Ganymede,1.625039839782165,1.0764376500586577,1.6851515542180617,1.1611733519510077,1.386950599002473,0.2706491977701313,0.13532459888506565
4_Callisto,1.623406631038902,1.0896681818907865,1.6832228577343222,0.0,1.4654325568880038,0.26682534160233773,0.13341267080116886
Moons Avg.,1.6087869711901865,1.0830529159747222,1.6977458523496267,1.1567049614587062,1.3865726752433103,0.26980147774828217,0.13490073887414109
Moons StdP,0.016053309137927217,0.006615265916064428,0.019190981249381178,0.007158147597902346,0.0,0.0,0.0
95% Conf,0.008026654568963608,0.0046776993886013946,0.011079918190343284,0.0041327584425479924,0.0,0.0,0.0
Observed Transmission,0.9208171849948853,0.9934385935488721,0.89701705287279,0.9688634972126798,0.0,0.0,0.0
NH3 Abs,0.0791828150051147,0.006561406451127905,0.10298294712721001,0.031136502787320164,0.0,0.0,0.0
Trans Conf,0.004989258809713917,0.004318994316534918,0.006526252545402497,0.003572871717724996,0.0,0.0,0.0
