RowNames,20210812UT,20210817UT,20210830UT,20210905UT,20210906UT,20211122UT,20211123UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,0.7374467242516827,0.7110004147535909,0.7123944418890293,0.693249613618046,0.6927620875331064,0.6761214805702551,0.6691892358016538,0.6988805712024806,0.021664845123810842,0.008188541770047691
1_Io,0.0,0.7508657731515936,0.7537786844636306,0.7354666269008948,0.7488375369856876,0.7152758111469688,0.710276505071494,0.7357501562867116,0.017286677621028892,0.006533749997112586
2_Europa,0.0,0.738191581499415,0.7290985727619348,0.7096040463100981,0.7204863061538888,0.6877305141048424,0.0,0.7170222041660358,0.017429936261190836,0.006587896673545414
3_Ganymede,0.0,0.7438361997835401,0.7172371316524697,0.7029315355907103,0.0,0.7128773625319818,0.6770709174256321,0.7107906293968668,0.021618075305476468,0.008170864440308201
4_Callisto,0.7715516167227926,0.7349430810367787,0.734509395578171,0.0,0.7263249624631781,0.7019436455655592,0.6617835523008937,0.7218427089445623,0.03372982317487156,0.012748674840984749
Moons Ratio,0.7715516167227926,0.7419591588678318,0.7336559461140515,0.7160007362672345,0.7318829352009182,0.7044568333373381,0.6830436582660065,0.7260786978251675,0.026273735451682018,0.009930538573978845
Moons StdP,0.0,0.006047128408537273,0.013190906857262109,0.014031423625712566,0.012223375642175138,0.01088624660531238,0.020242642152357906,0.0,0.0,0.0
95% Conf,0.0,0.0030235642042686366,0.0065954534286310545,0.008101046207418826,0.007057169217415731,0.00544312330265619,0.011687094895773104,0.0,0.0,0.0
Trans647,0.9557970047215087,0.9582743285203441,0.9710197888565645,0.9682247217121618,0.9465476706912531,0.9597770204984096,0.9797166370016172,0.0,0.0,0.0
NH3 Abs,0.04420299527849125,0.04172567147965589,0.02898021114343552,0.031775278287838216,0.05345232930874688,0.04022297950159037,0.020283362998382848,0.0,0.0,0.0
Trans Conf,0.0,0.004075108674286527,0.008989845258619017,0.01131429871099358,0.009642483624076274,0.007726695299227343,0.017110319017443608,0.0,0.0,0.0
