RowNames,20221031UT,20221101UT,20221109UT,20221121UT,Mean Ratio,StdP Ratio,Conf 95%
0_Jupiter,1.3022385754122776,1.0476704681672295,1.3300732939182645,1.0719626014487273,1.1879862347366248,0.12883354334764077,0.06441677167382039
1_Io,1.3292574880722712,0.0,0.0,1.0769564102423448,1.2031069491573079,0.1261505389149632,0.0630752694574816
2_Europa,1.3372499783997338,0.0,1.385301955849104,1.0912898656305576,1.2712805999597985,0.12877563555135527,0.06438781777567763
3_Ganymede,1.359415516309948,1.03212691399358,1.3643296711310142,1.094762835877409,1.212658734327988,0.15085821750333347,0.07542910875166674
4_Callisto,1.3772430836663698,1.0374082272139487,1.3749496072905445,0.0,1.2632003060569543,0.15966185551482687,0.07983092775741343
Moons Avg.,1.3507915166120807,1.0347675706037642,1.374860411423554,1.0876697039167704,1.2120223006390423,0.15219720205796491,0.07609860102898246
Moons StdP,0.018849047805699303,0.002640656610184311,0.00856213168555477,0.007706982833757378,0.0,0.0,0.0
95% Conf,0.009424523902849652,0.0018672261958464077,0.004943349033492071,0.004449628613709647,0.0,0.0,0.0
Observed Transmission,0.9640559326863566,1.0124693679334547,0.9674242438482055,0.9855589409068941,0.0,0.0,0.0
NH3 Abs,0.03594406731364341,-0.012469367933454656,0.03257575615179453,0.01444105909310589,0.0,0.0,0.0
Trans Conf,0.006977038119462945,0.001804488514031148,0.0035955279477235384,0.004090974123565491,0.0,0.0,0.0
